Mean Temp (°C),Total Precip (mm),Total Rain (mm),Total Snow (cm),Snow on Grnd (cm),New_cases,New_hospitalized,New_icu,First_day,Stayhome_Order,std_sd_score
24.240000000000002,0.18,0.18,0.0,0.4,161.0,-21.0,-7.0,0.0,1.0,44.31239388794568
22.2,4.38,3.9799999999999995,0.0,0.4,216.0,23.0,-1.0,0.0,1.0,50.93378607809848
18.98,0.8400000000000001,0.44000000000000006,0.0,0.4,163.0,-10.0,-5.0,1.0,1.0,42.10526315789473
18.639999999999997,0.0,0.0,0.0,0.4,189.0,-8.0,-4.0,0.0,1.0,34.974533106960955
21.080000000000002,0.0,0.0,0.0,0.4,111.0,-14.0,-5.0,0.0,1.0,32.93718166383701
22.9,3.6399999999999997,3.1,0.0,0.4,160.0,-4.0,-5.0,0.0,1.0,23.089983022071305
22.46,2.7,2.7,0.0,0.4,178.0,-38.0,-1.0,0.0,1.0,12.39388794567063
23.08,1.46,1.3599999999999999,0.0,0.4,257.0,18.0,-4.0,0.0,1.0,31.239388794567063
22.380000000000003,0.0,0.0,0.0,0.4,157.0,-19.0,-8.0,0.0,1.0,22.75042444821732
23.419999999999998,0.0,0.0,0.0,0.4,149.0,-4.0,-4.0,0.0,1.0,26.6553480475382
25.919999999999998,0.1,0.1,0.0,0.4,153.0,-90.0,1.0,0.0,1.0,30.56027164685908
25.74,0.0,0.0,0.0,0.4,165.0,36.0,-1.0,0.0,1.0,29.711375212224105
23.9,0.0,0.0,0.0,0.4,121.0,-5.0,-70.0,0.0,1.0,12.05432937181664
23.32,0.06,0.06,0.0,0.4,138.0,-11.0,67.0,0.0,1.0,14.94057724957555
24.32,0.0,0.0,0.0,0.4,154.0,-21.0,-3.0,0.0,1.0,32.597623089983024
26.160000000000004,0.2,0.0,0.0,0.4,112.0,13.0,-3.0,0.0,1.0,34.80475382003396
27.420000000000005,1.8,1.8,0.0,0.4,118.0,-8.0,0.0,0.0,1.0,37.69100169779287
27.580000000000002,0.04,0.0,0.0,0.4,170.0,0.0,-3.0,1.0,1.0,34.29541595925297
27.4,11.52,4.5600000000000005,0.0,0.4,116.0,-6.0,2.0,0.0,1.0,38.37011884550085
22.939999999999998,9.6,9.52,0.0,0.4,130.0,11.0,-3.0,0.0,1.0,32.76740237691001
21.740000000000002,0.08,0.08,0.0,0.4,129.0,-12.0,-2.0,0.0,1.0,14.60101867572156
20.919999999999998,0.2,0.2,0.0,0.4,116.0,-12.0,-2.0,0.0,1.0,34.29541595925297
21.28,0.0,0.0,0.0,0.4,111.0,33.0,2.0,0.0,1.0,30.73005093378608
22.32,0.0,0.0,0.0,0.4,102.0,-22.0,0.0,0.0,1.0,32.42784380305603
23.06,3.1399999999999997,1.8399999999999999,0.0,0.4,111.0,-8.0,-5.0,1.0,1.0,44.14261460101868
24.880000000000003,0.5,0.5,0.0,0.4,111.0,1.0,2.0,0.0,1.0,27.164685908319186
24.880000000000003,0.0,0.0,0.0,0.4,166.0,-3.0,1.0,0.0,1.0,9.168081494057724
26.099999999999994,8.7,5.4,0.0,0.4,164.0,-4.0,0.0,0.0,1.0,29.54159592529712
23.54,0.0,0.0,0.0,0.4,135.0,14.0,2.0,0.0,1.0,28.183361629881155
20.54,0.0,0.0,0.0,0.4,203.0,5.0,0.0,0.0,1.0,29.8811544991511
22.48,7.539999999999999,3.6599999999999993,0.0,0.4,165.0,8.0,2.0,0.0,1.0,45.16129032258064
22.58,0.12,0.0,0.0,0.4,103.0,26.0,-2.0,0.0,1.0,28.862478777589136
22.220000000000002,0.0,0.0,0.0,0.4,195.0,-13.0,-5.0,0.0,1.0,26.99490662139219
23.059999999999995,0.0,0.0,0.0,0.4,138.0,-44.0,-3.0,0.0,1.0,7.130730050933787
26.1,0.0,0.0,0.0,0.4,137.0,-10.0,-1.0,0.0,1.0,12.563667232597622
